"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","Acorn","cloudCover","humidity","visibility","month","energy_sum"
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-O",0.7,0.94,5.21,"1",9.61986407572816
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-P",0.7,0.94,5.21,"1",7.84612843486239
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-Q",0.7,0.94,5.21,"1",8.33174271796116
2013-01-10,2.36,-0.48,"16","4","winter","ACORN-U",0.7,0.94,5.21,"1",17.0813333666667
2013-01-06,6.98,5.08,"16","7","winter","ACORN-A",0.67,0.96,5.5,"1",24.22318064
2013-01-06,6.98,5.08,"16","7","winter","ACORN-B",0.67,0.96,5.5,"1",13.452279984
2013-01-06,6.98,5.08,"16","7","winter","ACORN-C",0.67,0.96,5.5,"1",14.8094697919463
2013-01-06,6.98,5.08,"16","7","winter","ACORN-D",0.67,0.96,5.5,"1",16.7594000007018
2013-01-06,6.98,5.08,"16","7","winter","ACORN-E",0.67,0.96,5.5,"1",12.6327999980707
2013-01-06,6.98,5.08,"16","7","winter","ACORN-F",0.67,0.96,5.5,"1",11.364963071935
2013-01-06,6.98,5.08,"16","7","winter","ACORN-G",0.67,0.96,5.5,"1",12.6445588245098
2013-01-06,6.98,5.08,"16","7","winter","ACORN-H",0.67,0.96,5.5,"1",13.5245133375556
2013-01-06,6.98,5.08,"16","7","winter","ACORN-I",0.67,0.96,5.5,"1",11.9929591795918
2013-01-06,6.98,5.08,"16","7","winter","ACORN-J",0.67,0.96,5.5,"1",14.4192162252252
2013-01-06,6.98,5.08,"16","7","winter","ACORN-K",0.67,0.96,5.5,"1",11.9891533723926
2013-01-06,6.98,5.08,"16","7","winter","ACORN-L",0.67,0.96,5.5,"1",12.3746235282353
2013-01-06,6.98,5.08,"16","7","winter","ACORN-M",0.67,0.96,5.5,"1",12.4167433663717
2013-01-06,6.98,5.08,"16","7","winter","ACORN-N",0.67,0.96,5.5,"1",11.14504
2013-01-06,6.98,5.08,"16","7","winter","ACORN-O",0.67,0.96,5.5,"1",10.7314465951456
2013-01-06,6.98,5.08,"16","7","winter","ACORN-P",0.67,0.96,5.5,"1",7.8236697266055
2013-01-06,6.98,5.08,"16","7","winter","ACORN-Q",0.67,0.96,5.5,"1",8.80008484909091
2013-01-06,6.98,5.08,"16","7","winter","ACORN-U",0.67,0.96,5.5,"1",15.3899791604167
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-A",0.55,0.84,5.62,"1",17.6337857285714
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-B",0.55,0.84,5.62,"1",4.5775
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-C",0.55,0.84,5.62,"1",14.8972727545455
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-D",0.55,0.84,5.62,"1",15.2368055472222
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-E",0.55,0.84,5.62,"1",15.3902790702326
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-F",0.55,0.84,5.62,"1",10.732780495122
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-G",0.55,0.84,5.62,"1",14.1954285666667
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-H",0.55,0.84,5.62,"1",11.0957692269231
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-I",0.55,0.84,5.62,"1",13.361
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-J",0.55,0.84,5.62,"1",19.4619999916667
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-K",0.55,0.84,5.62,"1",12.6973889222222
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-L",0.55,0.84,5.62,"1",15.7996538538462
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-M",0.55,0.84,5.62,"1",16.8124
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-N",0.55,0.84,5.62,"1",19.388
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-O",0.55,0.84,5.62,"1",13.91299998
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-P",0.55,0.84,5.62,"1",5.16011111111111
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-Q",0.55,0.84,5.62,"1",12.3313023197674
2012-01-31,1.13,-2.95,"16","2","winter","ACORN-U",0.55,0.84,5.62,"1",10.5398333333333
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-A",0.52,0.93,5.7,"1",22.3456645219355
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-B",0.52,0.93,5.7,"1",13.250720012
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-C",0.52,0.93,5.7,"1",14.7478926167785
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-D",0.52,0.93,5.7,"1",16.9616631575439
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-E",0.52,0.93,5.7,"1",12.7853759652956
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-F",0.52,0.93,5.7,"1",10.7075347096012
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-G",0.52,0.93,5.7,"1",12.2893333333333
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-H",0.52,0.93,5.7,"1",12.8617871421286
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-I",0.52,0.93,5.7,"1",11.2725510306122
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-J",0.52,0.93,5.7,"1",14.8978000109091
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-K",0.52,0.93,5.7,"1",11.2359815883436
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-L",0.52,0.93,5.7,"1",11.6459411738235
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-M",0.52,0.93,5.7,"1",12.4103628230088
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-N",0.52,0.93,5.7,"1",10.556566664
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-O",0.52,0.93,5.7,"1",9.61895098823529
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-P",0.52,0.93,5.7,"1",7.95937616055046
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-Q",0.52,0.93,5.7,"1",8.3486877255164
2013-01-11,5.7,-1.42,"16","5","winter","ACORN-U",0.52,0.93,5.7,"1",15.6018750229167
2012-01-18,11.92,2.05,"16","3","winter","ACORN-A",0.76,0.93,6.28,"1",16.3577272727273
2012-01-18,11.92,2.05,"16","3","winter","ACORN-B",0.76,0.93,6.28,"1",8.444
2012-01-18,11.92,2.05,"16","3","winter","ACORN-C",0.76,0.93,6.28,"1",13.2058750375
2012-01-18,11.92,2.05,"16","3","winter","ACORN-D",0.76,0.93,6.28,"1",18.5005789421053
2012-01-18,11.92,2.05,"16","3","winter","ACORN-E",0.76,0.93,6.28,"1",14.1217171032895
2012-01-18,11.92,2.05,"16","3","winter","ACORN-F",0.76,0.93,6.28,"1",10.1446800053333
