"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2013-10-24,18.47,13.16,"16","4","autumn",0.47,0.86,10.91,"10",13.26,1005.16,9.2018483147642
2014-02-24,14.23,5.52,"17","1","winter",0.5,0.74,13,"2",6.03,1005.19,10.4114030845214
2012-12-22,13.07,4.44,"15","6","winter",0.67,0.96,10.15,"12",9.32,1005.25,12.3587841216422
2012-08-23,20.27,14.07,"19","4","summer",0.44,0.76,12.34,"8",12.3,1005.28,7.82350346340542
2013-10-19,17.04,12.16,"16","6","autumn",0.42,0.89,11.57,"10",12.21,1005.32,9.62103694427554
2012-10-11,14.73,7.12,"17","4","autumn",0.48,0.75,13.07,"10",7.08,1005.33,10.0057077271041
2014-02-02,6.48,3.21,"16","7","winter",0.22,0.72,12.89,"2",2.63,1005.39,12.0781643556832
2012-12-27,5.36,3.64,"15","4","winter",0.51,0.84,12.46,"12",4.81,1005.46,11.8428621187046
2013-01-28,10.54,-0.68,"16","1","winter",0.47,0.84,11.91,"1",4.14,1005.47,12.3470513184713
2012-07-07,18.77,14.28,"20","6","summer",0.55,0.89,10.94,"7",14.02,1005.49,8.4453850612709
2012-06-27,28.64,16.23,"20","3","summer",0.31,0.75,12.79,"6",16.52,1005.5,8.25614630069212
2013-11-08,11,2.54,"16","5","autumn",0.5,0.9,12.1,"11",6.02,1005.53,10.5311736437584
2013-10-18,17.52,13.21,"17","5","autumn",0.52,0.91,11.31,"10",13.38,1005.58,9.360215124264
2012-10-02,14.34,7.78,"17","2","autumn",0.36,0.8,12.99,"10",8.97,1005.61,9.40385959630727
2012-12-13,-1.1,-3.72,"15","4","autumn",0.6,0.87,6.78,"12",-1.81,1005.66,13.3223444290883
2013-04-07,7.18,-0.38,"18","7","spring",0.36,0.65,10.81,"4",-0.36,1005.84,11.1582951846481
2013-05-16,11.3,6.9,"19","4","spring",0.6,0.76,11.54,"5",5.77,1005.87,8.83843895588071
2013-10-20,17.53,13.26,"16","7","autumn",0.53,0.87,11.25,"10",13.38,1005.88,10.1657353230606
2013-03-10,0.33,-4.03,"17","7","winter",0.81,0.82,12.26,"3",-0.37,1005.94,12.8230727297735
2011-12-05,3.13,-1.69,"15","1","autumn",0.2,0.77,13,"12",0.84,1006.01,10.6097142888889
2013-11-09,7.04,1.24,"16","6","autumn",0.41,0.9,11.43,"11",4.11,1006.05,11.3069205703875
2012-06-20,19.08,11.52,"20","3","spring",0.59,0.84,9.83,"6",12.86,1006.07,8.03548105199131
2012-11-05,7.08,2.62,"16","1","autumn",0.41,0.83,9.08,"11",3.37,1006.26,11.3905215588406
2014-01-09,12.01,1.6,"16","4","winter",0.39,0.77,12.63,"1",4.86,1006.3,11.1195716262102
2013-11-07,14.7,6.25,"16","4","autumn",0.66,0.83,13.9,"11",7.44,1006.38,10.1193467019476
2012-09-26,16.61,10.57,"17","3","autumn",0.48,0.82,11.41,"9",9.5,1006.39,9.34498083536413
2013-01-26,4.69,-2.16,"16","6","winter",0.51,0.86,10.27,"1",2.87,1006.45,12.8488882614923
2012-08-14,22.79,17.38,"19","2","summer",0.26,0.77,11.96,"8",15.23,1006.5,7.88800042108801
2013-02-06,2.56,-1.46,"16","3","winter",0.61,0.75,13.23,"2",0.5,1006.64,12.2536409541758
2013-07-27,23.14,15.34,"19","6","summer",0.44,0.73,11.72,"7",13.99,1006.68,8.07355880734378
2014-02-16,7.88,-1.03,"17","7","winter",0.13,0.76,12.78,"2",1.76,1006.7,11.5821590267637
2014-01-22,10.02,3.08,"16","3","winter",0.69,0.87,10.2,"1",5.54,1006.71,11.1095600868597
2013-03-20,3.49,0.18,"18","3","winter",0.78,0.86,5.73,"3",1.59,1006.74,11.6632140210701
2013-09-29,18.81,13.21,"17","7","autumn",0.37,0.79,12.6,"9",11.64,1006.77,9.4408526540525
2012-04-03,10.18,1.87,"18","2","spring",0.49,0.75,11.47,"4",3.03,1006.81,10.1647025569326
2012-05-03,7.18,5.89,"19","4","spring",0.78,0.86,10.57,"5",5.93,1006.82,10.0189359171752
2013-09-28,17.36,13.44,"17","6","autumn",0.45,0.79,12.25,"9",11.37,1006.89,8.99635102544549
2013-07-26,27.37,14.82,"19","5","summer",0.26,0.68,11.96,"7",13.92,1006.91,7.79169643258448
2013-01-30,12.56,3.86,"16","3","winter",0.44,0.77,11.88,"1",5.96,1006.93,11.0800833773348
2012-10-04,15.65,8.34,"17","4","autumn",0.61,0.86,10.11,"10",10.05,1006.96,9.34351764151313
2014-02-27,10.31,1.41,"17","4","winter",0.32,0.74,12.04,"2",3.08,1007.02,10.3563498993587
2013-06-21,17.54,12.01,"20","5","spring",0.67,0.81,11.33,"6",11.12,1007.11,8.08216469876335
2011-12-01,12.15,5.29,"15","4","autumn",0.57,0.82,12.15,"12",6.87,1007.12,9.22770652717391
2012-08-04,20.69,12.98,"19","6","summer",0.34,0.79,11.99,"8",12.76,1007.24,8.15483637878597
2013-03-11,-4.11,-8.57,"17","1","winter",0.6,0.73,10.83,"3",-4.67,1007.26,13.1067729697477
2012-07-06,18.65,13.42,"20","5","summer",0.54,0.81,11.28,"7",12.54,1007.26,8.19772680121622
2011-12-06,3.77,-1.61,"15","2","autumn",0.34,0.83,13.15,"12",2.15,1007.32,11.6734166666667
2012-05-07,17.24,10.43,"19","1","spring",0.51,0.82,12.09,"5",10.02,1007.34,10.5126464603646
2012-06-02,12.19,10.97,"20","6","spring",0.82,0.95,6.18,"6",10.73,1007.36,8.44687436407378
2013-05-07,16.81,11.33,"19","2","spring",0.52,0.77,9.8,"5",9.65,1007.4,8.30699609093616
2012-12-03,10.22,0.57,"15","1","autumn",0.58,0.87,10.67,"12",4.75,1007.42,12.3932922025692
2013-10-13,11.34,6.28,"17","7","autumn",0.66,0.91,9.69,"10",8.1,1007.43,10.9675072976373
2012-07-05,18.7,14.78,"20","4","summer",0.39,0.82,11.89,"7",13.22,1007.45,8.08792295271389
2013-03-15,4.56,-0.32,"18","5","winter",0.65,0.81,12.36,"3",2.72,1007.6,11.5908591707097
2012-10-18,13.21,11.98,"17","4","autumn",0.66,0.95,8.42,"10",11.64,1007.63,9.61126757649589
2012-12-31,6.97,0.88,"16","1","winter",0.38,0.81,13.15,"12",3.28,1007.65,11.9012354854499
2012-11-21,11.87,3.42,"16","3","autumn",0.45,0.91,10.65,"11",7.8,1007.68,11.3239184742589
2014-01-20,8.44,1.3,"16","1","winter",0.17,0.89,9.64,"1",2.59,1007.71,11.4308828747778
2011-12-11,5.72,0.11,"15","7","autumn",0.56,0.88,12.09,"12",4.49,1007.71,13.7491741373134
2013-01-23,-1.4,-2.47,"16","3","winter",0.75,0.82,7.69,"1",-0.68,1007.72,13.3444426455735
2012-11-17,12.44,7.04,"16","6","autumn",0.65,0.88,9.32,"11",8.66,1007.72,11.4896696799855
2014-02-17,10.67,2.84,"17","1","winter",0.56,0.83,10.32,"2",5.02,1007.8,10.9795659881978
2012-04-13,11.62,3.66,"18","5","spring",0.47,0.72,10.62,"4",3.07,1007.83,10.0172454382691
2013-12-18,10.29,2.42,"15","3","autumn",0.64,0.88,9.7,"12",6.47,1007.83,11.2999232883757
2012-10-03,14.99,5.02,"17","3","autumn",0.28,0.79,12.79,"10",7.55,1008.02,9.39512822123894
2012-12-05,-0.07,-2.82,"15","3","autumn",0.39,0.84,11.14,"12",-0.69,1008.05,12.7365271339182
2013-05-17,14.56,7.62,"19","5","spring",0.59,0.67,11.93,"5",5.68,1008.08,9.22621335199552
2012-06-29,20.13,13.61,"20","5","summer",0.48,0.71,12.92,"6",11.43,1008.1,8.20298928261491
2012-06-14,17.59,12.91,"20","4","spring",0.47,0.78,12.31,"6",11.11,1008.12,8.14549264410322
2013-07-02,19.69,14.31,"20","2","summer",0.83,0.79,11.86,"7",13,1008.35,8.24803391971514
2012-05-08,15.18,10.78,"19","2","spring",0.77,0.92,8.14,"5",11.78,1008.41,9.21898375255889
2011-12-17,1.72,-3.56,"15","6","autumn",0.37,0.86,11.64,"12",0.96,1008.46,13.5119678539286
2012-01-02,4.8,0.87,"16","1","winter",0.21,0.81,13.23,"1",2.8,1008.49,12.7547445243309
2013-09-05,18.32,13.26,"18","4","summer",0.39,0.81,11.17,"9",12.51,1008.5,8.07103010649771
2012-06-09,17.22,8.91,"20","6","spring",0.4,0.78,11.46,"6",9.33,1008.58,8.55402558917605
2013-06-14,16.27,11.01,"20","5","spring",0.42,0.74,12.18,"6",9.15,1008.6,8.20428627614679
2012-06-11,12.87,10.46,"20","1","spring",0.8,0.83,11.81,"6",8.79,1008.62,9.44455727455651
2012-06-15,17.47,12.57,"20","5","spring",0.57,0.72,13.13,"6",9.73,1008.62,7.22760056202661
2014-02-18,10.13,3.83,"17","2","winter",0.57,0.87,11.49,"2",6.23,1008.67,10.7818979815532
2013-05-08,14.28,5,"19","3","spring",0.47,0.71,11.97,"5",5.48,1008.69,8.50373096231614
2012-10-29,12.4,5.47,"16","1","autumn",0.45,0.89,12.49,"10",7.73,1008.71,11.005619020471
2012-11-20,13.46,10.88,"16","2","autumn",0.76,0.9,10.81,"11",10.63,1008.74,11.1047924795011
2013-08-01,24.68,17.44,"19","4","summer",0.42,0.71,12.67,"8",15.13,1008.75,7.91322415390285
2011-12-07,5.14,0.94,"15","3","autumn",0.29,0.68,13.12,"12",1.79,1008.76,10.8893618453947
2013-03-12,-0.56,-8.88,"18","2","winter",0.54,0.63,12.34,"3",-5.54,1008.83,12.8522952649291
2013-10-02,18.68,14.03,"17","3","autumn",0.43,0.93,7.03,"10",14.91,1008.9,8.92958875396277
2013-11-01,13.97,11.48,"16","5","autumn",0.55,0.89,11.57,"11",10.82,1008.97,9.82178135166635
2013-01-15,0.89,-3.16,"16","2","winter",0.58,0.85,11.41,"1",-0.89,1008.99,12.9437203566007
2013-10-03,20.84,15.23,"17","4","autumn",0.62,0.87,11.68,"10",15.39,1009.01,8.8808794390862
2013-09-30,17.28,11.76,"17","1","autumn",0.54,0.82,9.11,"9",11.33,1009.02,8.84567420331545
2012-08-05,20.95,14.77,"19","7","summer",0.41,0.77,12.78,"8",12.89,1009.08,8.66672773168067
2014-02-22,11.63,1.59,"17","6","winter",0.25,0.71,13.07,"2",2.64,1009.09,10.7762421096284
2012-05-20,16.22,7.07,"19","7","spring",0.75,0.82,10.69,"5",9.33,1009.14,9.7905447522859
2012-01-26,6.9,-0.23,"16","4","winter",0.51,0.8,12.71,"1",4.04,1009.15,12.3720544061914
2013-05-26,17.28,4.68,"20","7","spring",0.29,0.58,13.63,"5",4.06,1009.15,8.58491657200448
2012-05-09,17.12,14.44,"19","3","spring",0.79,0.9,10.9,"5",13.92,1009.21,9.48135499318542
2013-06-22,16.51,12.62,"20","6","spring",0.7,0.76,12.38,"6",10.42,1009.25,8.4132098159985
2012-05-18,16.42,10.59,"19","5","spring",0.65,0.78,10.12,"5",9.48,1009.32,8.92611295001623
2012-07-04,22.33,15.2,"20","3","summer",0.48,0.71,12.73,"7",12.99,1009.33,8.22653003493522
2013-05-23,6.24,1.79,"19","4","spring",0.65,0.84,11.89,"5",4.4,1009.4,8.90278416695295
2012-06-08,17.92,11.02,"20","5","spring",0.38,0.61,13.12,"6",6.44,1009.44,8.8071708318217
2013-08-17,22.42,15.92,"19","6","summer",0.57,0.73,12.76,"8",13.61,1009.48,8.00789620481974
2012-05-04,7.42,2.99,"19","5","spring",0.63,0.73,13.15,"5",2.9,1009.49,9.99838708130881
2013-07-31,32.42,17.18,"19","3","summer",0.2,0.65,14.08,"7",16.92,1009.49,7.95977635117114
2012-12-21,7.58,4.44,"15","5","autumn",0.44,0.91,12.15,"12",6.22,1009.54,11.7767963030265
2012-07-31,22.57,13.69,"19","2","summer",0.41,0.79,11.3,"7",13.95,1009.58,8.20502271745898
2012-09-22,12.31,7.69,"17","6","summer",0.48,0.86,10.62,"9",8.42,1009.6,8.99276145630115
2012-07-03,21.44,16.12,"20","2","summer",0.66,0.85,11.02,"7",15.78,1009.62,8.32674159614846
2011-11-29,13.47,3.39,"15","2","autumn",0.6,0.82,12.57,"11",8.61,1009.7,9.27487302380952
2013-12-22,10.07,1.58,"15","7","autumn",0.25,0.73,12.68,"12",3.57,1009.77,11.942015860701
2013-03-22,0.07,-2.8,"18","5","spring",0.69,0.79,6.1,"3",0.38,1009.8,12.0711726924908
2012-04-26,14.84,6.84,"19","4","spring",0.49,0.77,12.92,"4",7.23,1009.84,9.91272838890026
2013-03-23,-2.27,-4.48,"18","6","spring",0.85,0.92,3.73,"3",0.43,1009.85,13.4292708131623
2013-09-27,18.36,12.43,"17","5","autumn",0.17,0.81,9.78,"9",11.73,1009.88,8.52626457043712
2012-12-30,10.9,1.25,"16","7","winter",0.37,0.77,13.2,"12",3.9,1009.95,11.9009804086704
2011-12-31,12.57,10.66,"16","6","winter",0.76,0.89,13.33,"12",9.87,1010.02,12.4360218951338
2012-08-03,21.04,14.36,"19","5","summer",0.41,0.77,12.89,"8",13.09,1010.03,7.99590422186515
2012-11-09,11.27,6.7,"16","5","autumn",0.7,0.8,13.37,"11",6.21,1010.05,10.933946624896
2013-06-20,20.38,14.11,"20","4","spring",0.55,0.81,10.03,"6",13.56,1010.05,8.1996571750281
2012-10-01,16.44,10.87,"17","1","autumn",0.39,0.85,12.55,"10",10.9,1010.12,9.59029503021869
2014-01-21,6.26,1.97,"16","2","winter",0.37,0.89,6.36,"1",2.76,1010.13,11.3706013415024
2013-05-09,17.17,10.2,"19","4","spring",0.63,0.72,12.39,"5",7.43,1010.14,8.7022052143203
2012-09-09,20.21,16.93,"18","7","summer",0.59,0.78,12.65,"9",14.19,1010.15,8.59237510510076
2012-11-24,7.11,2.99,"16","6","autumn",0.58,0.97,5.7,"11",6.52,1010.19,12.0949148140351
2013-09-14,15.36,5.13,"18","6","summer",0.41,0.86,9.93,"9",9.32,1010.26,9.29198262381134
