"date","Acorn","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2012-11-01,"ACORN-H",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,11.1395381174888
2012-11-01,"ACORN-I",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,10.0613061326531
2012-11-01,"ACORN-J",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,12.3591531486486
2012-11-01,"ACORN-K",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,10.3529575751515
2012-11-01,"ACORN-L",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,10.2356676461765
2012-11-01,"ACORN-M",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,10.9338761044248
2012-11-01,"ACORN-N",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,9.64947297162162
2012-11-01,"ACORN-O",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,8.60803921568627
2012-11-01,"ACORN-P",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,6.99333945412844
2012-11-01,"ACORN-Q",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,7.86744349756987
2012-11-01,"ACORN-U",11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,12.43270833125
2014-02-05,"ACORN-A",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,20.5635357107143
2014-02-05,"ACORN-B",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,13.3493913043478
2014-02-05,"ACORN-C",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,13.2731798568345
2014-02-05,"ACORN-D",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,15.2041284062257
2014-02-05,"ACORN-E",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,12.3658551871037
2014-02-05,"ACORN-F",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,10.1866216200318
2014-02-05,"ACORN-G",5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,12.0761256602094
